datetime order_book_id side position_effect
2020-05-15 09:41:00 I88 SELL OPEN
2020-05-15 09:42:00 I88 BUY CLOSE_TODAY
2020-05-15 09:43:00 I88 SELL OPEN
2020-05-15 09:44:00 I88 BUY CLOSE_TODAY
2020-05-15 09:45:00 I88 SELL OPEN
2020-05-15 09:46:00 I88 BUY CLOSE_TODAY
2020-05-15 09:49:00 I88 SELL OPEN
2020-05-15 09:55:00 I88 BUY CLOSE_TODAY
2020-05-15 09:56:00 I88 SELL OPEN
2020-05-15 10:03:00 I88 BUY CLOSE_TODAY
2020-05-15 10:04:00 I88 SELL OPEN
2020-05-15 10:05:00 I88 BUY CLOSE_TODAY
2020-05-15 10:09:00 I88 SELL OPEN
2020-05-15 10:11:00 I88 BUY CLOSE_TODAY
2020-05-15 10:32:00 I88 SELL OPEN
2020-05-15 10:44:00 I88 BUY CLOSE_TODAY
2020-05-15 10:54:00 I88 SELL OPEN
2020-05-15 10:55:00 I88 BUY CLOSE_TODAY
2020-05-15 10:56:00 I88 SELL OPEN
2020-05-15 13:55:00 I88 BUY CLOSE_TODAY
2020-05-15 13:56:00 I88 SELL OPEN
2020-05-15 14:37:00 I88 BUY CLOSE_TODAY
2020-05-15 21:13:00 I88 SELL OPEN
2020-05-15 21:15:00 I88 BUY CLOSE_TODAY
2020-05-15 21:16:00 I88 SELL OPEN
2020-05-15 21:50:00 I88 BUY CLOSE_TODAY
2020-05-18 09:01:00 I88 SELL OPEN
2020-05-18 09:09:00 I88 BUY CLOSE_TODAY
2020-05-18 14:21:00 I88 SELL OPEN
2020-05-18 14:22:00 I88 BUY CLOSE_TODAY
2020-05-18 14:23:00 I88 SELL OPEN
2020-05-18 14:36:00 I88 BUY CLOSE_TODAY
2020-05-21 21:14:00 I88 SELL OPEN
2020-05-21 21:16:00 I88 BUY CLOSE_TODAY
2020-05-21 21:18:00 I88 SELL OPEN
2020-05-21 22:21:00 I88 BUY CLOSE_TODAY
2020-05-21 22:22:00 I88 SELL OPEN
2020-05-21 22:23:00 I88 BUY CLOSE_TODAY
2020-05-21 22:25:00 I88 SELL OPEN
2020-05-21 22:27:00 I88 BUY CLOSE_TODAY
2020-05-21 22:56:00 I88 SELL OPEN
2020-05-22 09:19:00 I88 BUY CLOSE
2020-05-22 09:22:00 I88 SELL OPEN
2020-05-22 09:24:00 I88 BUY CLOSE_TODAY
2020-05-22 09:25:00 I88 SELL OPEN
2020-05-22 09:28:00 I88 BUY CLOSE_TODAY
2020-05-22 09:35:00 I88 SELL OPEN
2020-05-22 09:36:00 I88 BUY CLOSE_TODAY
2020-05-22 10:52:00 I88 BUY OPEN
2020-05-22 11:03:00 I88 SELL CLOSE_TODAY
2020-05-22 11:11:00 I88 BUY OPEN
2020-05-22 11:13:00 I88 SELL CLOSE_TODAY
2020-05-22 11:17:00 I88 BUY OPEN
2020-05-22 11:21:00 I88 SELL CLOSE_TODAY
2020-05-22 11:22:00 I88 BUY OPEN
2020-05-22 11:23:00 I88 SELL CLOSE_TODAY
2020-05-22 11:26:00 I88 BUY OPEN
2020-05-22 11:27:00 I88 SELL CLOSE_TODAY
2020-05-22 13:31:00 I88 BUY OPEN
2020-05-22 13:33:00 I88 SELL CLOSE_TODAY
2020-05-22 14:24:00 I88 BUY OPEN
2020-05-22 14:25:00 I88 SELL CLOSE_TODAY
2020-05-22 14:26:00 I88 BUY OPEN
2020-05-22 14:27:00 I88 SELL CLOSE_TODAY
2020-05-22 22:13:00 I88 SELL OPEN
2020-05-22 22:15:00 I88 BUY CLOSE_TODAY
2020-05-22 22:16:00 I88 SELL OPEN
2020-05-22 22:19:00 I88 BUY CLOSE_TODAY
2020-05-22 22:20:00 I88 SELL OPEN
2020-05-22 22:30:00 I88 BUY CLOSE_TODAY
2020-05-25 09:10:00 I88 BUY OPEN
2020-05-25 09:14:00 I88 SELL CLOSE_TODAY
2020-05-25 09:15:00 I88 BUY OPEN
2020-05-25 09:16:00 I88 SELL CLOSE_TODAY
2020-05-25 09:17:00 I88 BUY OPEN
2020-05-25 09:18:00 I88 SELL CLOSE_TODAY
2020-05-25 09:19:00 I88 BUY OPEN
2020-05-25 09:20:00 I88 SELL CLOSE_TODAY
2020-05-25 09:21:00 I88 BUY OPEN
2020-05-25 09:22:00 I88 SELL CLOSE_TODAY
2020-05-26 09:04:00 I88 BUY OPEN
2020-05-26 09:05:00 I88 SELL CLOSE_TODAY
2020-05-26 09:06:00 I88 BUY OPEN
2020-05-26 09:09:00 I88 SELL CLOSE_TODAY
2020-05-26 09:37:00 I88 BUY OPEN
2020-05-26 09:40:00 I88 SELL CLOSE_TODAY
2020-05-26 10:33:00 I88 BUY OPEN
2020-05-26 10:40:00 I88 SELL CLOSE_TODAY
2020-05-26 10:41:00 I88 BUY OPEN
2020-05-26 11:07:00 I88 SELL CLOSE_TODAY
2020-05-26 11:26:00 I88 BUY OPEN
2020-05-26 13:42:00 I88 SELL CLOSE_TODAY
2020-05-26 13:43:00 I88 BUY OPEN
2020-05-26 13:50:00 I88 SELL CLOSE_TODAY
2020-05-26 13:51:00 I88 BUY OPEN
2020-05-26 14:16:00 I88 SELL CLOSE_TODAY
2020-05-26 21:01:00 I88 BUY OPEN
2020-05-26 21:34:00 I88 SELL CLOSE_TODAY
2020-05-26 22:37:00 I88 BUY OPEN
2020-05-26 22:38:00 I88 SELL CLOSE_TODAY
2020-05-26 22:39:00 I88 BUY OPEN
2020-05-26 22:40:00 I88 SELL CLOSE_TODAY
2020-05-26 22:41:00 I88 BUY OPEN
2020-05-26 22:42:00 I88 SELL CLOSE_TODAY
2020-05-26 22:45:00 I88 BUY OPEN
2020-05-26 22:52:00 I88 SELL CLOSE_TODAY
2020-05-27 09:06:00 I88 BUY OPEN
2020-05-27 09:07:00 I88 SELL CLOSE_TODAY
2020-05-27 10:56:00 I88 SELL OPEN
2020-05-27 13:36:00 I88 BUY CLOSE_TODAY
2020-05-27 13:56:00 I88 SELL OPEN
2020-05-27 13:57:00 I88 BUY CLOSE_TODAY
2020-05-27 21:02:00 I88 SELL OPEN
2020-05-27 21:03:00 I88 BUY CLOSE_TODAY
2020-05-28 22:56:00 I88 SELL OPEN
2020-05-28 22:58:00 I88 BUY CLOSE_TODAY
2020-05-29 09:02:00 I88 SELL OPEN
